,hockey_score_total_away,hockey_score_total_home,hockey_away_winner,hockey_home_winner,hockey_team_1,isaway1,hockey_team_2,isaway2,hockey_score_away,hockey_score_home,hockey_ml_away,hockey_ml_home,hockey_spread_line_away,hockey_spread_line_home,hockey_spread_line_away_money,hockey_spread_line_home_money,hockey_spread_line_away_delta,hockey_spread_line_home_delta,hockey_over,hockey_over_money,hockey_under_money,hockey_over_money_delta,hockey_under_money_delta,hockey_over_delta,hockey_date_updated
0,0,0,0,0,Columbus Blue Jackets,True,San Jose Sharks,False,[],[],150.0,-160.0,1.5,-1.5,-190.0,175.0,10.0,5.0,6.0,-104.0,-106.0,6.0,4.0,0.0,2018-11-02T02:38:08Z
1,0,0,0,0,Vegas Golden Knights,True,St. Louis Blues,False,[],[],105.0,-115.0,1.5,-1.5,-260.0,240.0,-20.0,20.0,6.0,115.0,-125.0,5.0,-5.0,0.0,2018-11-01T21:23:27Z
2,0,0,0,0,Florida Panthers,True,Winnipeg Jets,False,[],[],122.0,-132.0,1.5,-1.5,-233.0,213.0,2.0,-2.0,6.0,110.0,-120.0,5.0,-5.0,0.0,2018-11-02T17:55:20Z
3,0,0,0,0,New York Rangers,True,Anaheim Ducks,False,[],[],145.0,-155.0,1.5,-1.5,-200.0,185.0,10.0,-5.0,5.5,-110.0,100.0,-4.0,204.0,0.0,2018-11-02T02:05:47Z
4,0,0,0,0,Philadelphia Flyers,True,Los Angeles Kings,False,[],[],110.0,-120.0,1.5,-1.5,-255.0,235.0,10.0,10.0,5.5,-109.0,-101.0,6.0,4.0,0.0,2018-11-02T02:32:27Z
5,0,0,0,0,Colorado Avalanche,True,Calgary Flames,False,[],[],100.0,-110.0,1.5,-1.5,-246.0,226.0,2.0,-2.0,6.0,100.0,-110.0,205.0,-5.0,0.0,2018-11-01T22:08:35Z
6,0,0,0,0,Chicago Blackhawks,True,Edmonton Oilers,False,[],[],149.0,-159.0,1.5,-1.5,-190.0,175.0,10.0,-10.0,6.0,-112.0,102.0,-2.0,2.0,0.0,2018-11-01T23:22:37Z
7,0,0,0,0,Dallas Stars,True,Washington Capitals,False,[],[],129.0,-139.0,1.5,-1.5,-210.0,190.0,-15.0,10.0,6.0,100.0,-110.0,-4.0,4.0,0.0,2018-11-03T21:39:23Z
8,0,0,0,0,Toronto Maple Leafs,True,Pittsburgh Penguins,False,[],[],128.0,-138.0,1.5,-1.5,-220.0,200.0,-5.0,5.0,6.5,-103.0,-107.0,2.0,-2.0,0.0,2018-11-03T21:04:11Z
9,0,0,0,0,Ottawa Senators,True,Buffalo Sabres,False,[],[],155.0,-165.0,1.5,-1.5,-175.0,165.0,15.0,-10.0,1.5,-180.0,158.0,-280.0,268.0,-5.0,2018-11-03T18:16:03Z
10,0,0,0,0,New Jersey Devils,True,New York Islanders,False,[],[],-110.0,100.0,-1.5,1.5,248.0,-270.0,-2.0,5.0,6.0,108.0,-118.0,2.0,-2.0,0.0,2018-11-03T21:54:08Z
11,0,0,0,0,Carolina Hurricanes,True,Arizona Coyotes,False,[],[],-115.0,105.0,-1.5,1.5,248.0,-270.0,-7.0,10.0,5.5,100.0,-110.0,202.0,-2.0,0.0,2018-11-03T00:13:42Z
12,0,0,0,0,Edmonton Oilers,True,Detroit Red Wings,False,[],[],-146.0,136.0,-1.5,1.5,188.0,-205.0,3.0,-5.0,6.0,110.0,-120.0,4.0,-4.0,0.0,2018-11-03T21:49:24Z
13,0,0,0,0,Tampa Bay Lightning,True,Montreal Canadiens,False,[],[],-131.0,121.0,-1.5,1.5,200.0,-220.0,-5.0,5.0,6.0,103.0,-113.0,-4.0,4.0,0.0,2018-11-03T22:32:10Z
14,0,0,0,0,Colorado Avalanche,True,Vancouver Canucks,False,[],[],-140.0,130.0,-1.5,1.5,190.0,-210.0,-10.0,10.0,6.0,-105.0,-105.0,5.0,-205.0,0.0,2018-11-03T01:25:41Z
15,0,0,0,0,Buffalo Sabres,True,New York Rangers,False,[],[],115.0,-125.0,1.5,-1.5,-240.0,220.0,-81.0,81.0,6.0,105.0,-115.0,236.0,-226.0,0.5,2018-11-05T00:05:22Z
16,0,0,0,0,Chicago Blackhawks,True,Calgary Flames,False,[],[],118.0,-128.0,1.5,-1.5,-231.0,211.0,-1.0,1.0,6.0,-105.0,-105.0,-205.0,5.0,0.0,2018-11-03T21:08:21Z
17,0,0,0,0,Boston Bruins,True,Nashville Predators,False,[],[],136.0,-146.0,1.5,-1.5,-205.0,188.0,-5.0,3.0,5.5,-105.0,-105.0,-205.0,5.0,0.0,2018-11-03T18:25:05Z
18,0,0,0,0,Carolina Hurricanes,True,Vegas Golden Knights,False,[],[],122.0,-132.0,1.5,-1.5,-220.0,200.0,5.0,-5.0,5.5,-105.0,-105.0,-1.0,1.0,0.0,2018-11-03T19:09:59Z
19,0,0,0,0,Minnesota Wild,True,St. Louis Blues,False,[],[],105.0,-115.0,1.5,-1.5,-250.0,230.0,-7.0,7.0,5.5,-114.0,104.0,1.0,-1.0,0.0,2018-11-03T19:18:29Z
20,0,0,0,0,Tampa Bay Lightning,True,Ottawa Senators,False,[],[],-210.0,190.0,-1.5,1.5,140.0,-150.0,-5.0,5.0,6.0,-130.0,120.0,-5.0,5.0,0.0,2018-11-05T00:01:50Z
21,0,0,0,0,Columbus Blue Jackets,True,Los Angeles Kings,False,[],[],-118.0,108.0,-1.5,1.5,240.0,-260.0,-5.0,5.0,5.5,-102.0,-108.0,-202.0,2.0,0.0,2018-11-04T02:27:04Z
22,0,0,0,0,Philadelphia Flyers,True,San Jose Sharks,False,[],[],170.0,-185.0,1.5,-1.5,-161.0,151.0,-1.0,1.0,6.0,-105.0,-105.0,-2.0,2.0,0.0,2018-11-04T02:07:14Z
23,0,0,0,0,New Jersey Devils,True,Pittsburgh Penguins,False,[],[],155.0,-165.0,1.5,-1.5,-185.0,170.0,-10.0,5.0,6.0,-116.0,106.0,-1.0,1.0,0.0,2018-11-05T22:56:47Z
24,0,0,0,0,Edmonton Oilers,True,Washington Capitals,False,[],[],115.0,-125.0,1.5,-1.5,-240.0,220.0,-5.0,5.0,6.0,100.0,-110.0,205.0,-5.0,0.0,2018-11-05T23:19:41Z
25,0,0,0,0,Columbus Blue Jackets,True,Anaheim Ducks,False,[],[],110.0,-120.0,1.5,-1.5,-245.0,225.0,-35.0,50.0,5.5,-110.0,100.0,5.0,205.0,4.0,2018-11-05T02:05:48Z
26,0,0,0,0,Montreal Canadiens,True,New York Islanders,False,[],[],110.0,-120.0,1.5,-1.5,-265.0,245.0,10.0,-5.0,5.5,-109.0,-101.0,-3.0,3.0,0.0,2018-11-05T23:33:56Z
27,0,0,0,0,Dallas Stars,True,Boston Bruins,False,[],[],145.0,-155.0,1.5,-1.5,-215.0,195.0,-5.0,5.0,5.5,-101.0,-109.0,4.0,-4.0,0.0,2018-11-06T00:00:10Z
28,0,0,0,0,Montreal Canadiens,True,New York Rangers,False,[],[],105.0,-115.0,1.5,-1.5,-270.0,248.0,5.0,-2.0,5.5,101.0,-111.0,1.0,-1.0,0.0,2018-11-06T16:50:56Z
